地域名	世帯人員	有業人員	世帯主の人数	金額	食料金額	穀類金額	米金額	米数量kg	パン金額	パン数量	食パン金額	食パン数量	他のパン金額	他のパン数量	麺類金額	麺類数量	生うどん・そば金額	生うどん・そば数量	乾うどん・そば金額	乾うどん・そば数量	パスタ金額	パスタ数量	中華麺金額	中華麺数量	カップ麺金額	カップ麺数量	即席麺金額	即席麺数量	他の麺類金額	他の麺類数量	他の穀類金額	他の穀類数量	小麦粉金額	小麦粉数量	もち金額	もち数量	他食品金額	他食品数量
山口市	2.79	1.36	58.9	3492401 	995355 	74511 	17075 	40.20	32567 	41360 	11146 	19735 	21421 	18731 	19461 	29467 	3822 	9933 	1750 	2165 	1144 	1880 	3756 	6518 	5949 	3989 	2547 	2882 	493 	396 	5408 	6966 	607 	1906 	1349 	1281 	3453 	3503 
徳島市	2.97	1.48	58.0	3456637 	1050230 	88624 	23110 	50.10	38596 	49301 	10926 	20042 	27670 	23746 	20589 	33910 	4043 	11608 	2516 	2567 	1340 	2642 	3772 	6914 	5923 	4310 	2429 	2794 	564 	433 	6329 	9098 	783 	2060 	1441 	2012 	4105 	4653 
高松市	2.74	1.29	61.5	3564469 	1014931 	85178 	19786 	52.92	36063 	46663 	11236 	20878 	24827 	22315 	24279 	41801 	6582 	16788 	4182 	4308 	1351 	2555 	4177 	7270 	5159 	4005 	2468 	2750 	360 	308 	5050 	7282 	702 	2135 	1480 	1707 	2869 	3322 
松山市	2.88	1.29	59.8	3079062 	933032 	82164 	21709 	59.00	35269 	41133 	9013 	15448 	26256 	24644 	19527 	29569 	3709 	10254 	2283 	1623 	1481 	3176 	4185 	7974 	4872 	4127 	2472 	2844 	526 	520 	5659 	7383 	687 	1742 	1509 	1460 	3463 	3655 
高知市	2.94	1.52	55.8	3633515 	1013733 	81648 	22137 	54.59	33633 	39683 	12729 	20379 	20904 	17716 	20488 	31115 	3915 	11768 	1636 	1845 	1267 	2128 	3519 	6336 	6685 	4777 	2905 	3260 	560 	446 	5389 	7375 	510 	1473 	820 	1193 	4059 	4651 
福岡市	2.84	1.19	60.2	3472840 	1044082 	83448 	26245 	52.89	33437 	44611 	9961 	18450 	23476 	19747 	17206 	26857 	2657 	6686 	1655 	1578 	1371 	2986 	3660 	6256 	4345 	3075 	2830 	3398 	688 	501 	6561 	9466 	900 	2601 	1497 	1875 	4163 	4674 
佐賀市	2.93	1.42	59.9	3511168 	1024222 	85730 	27529 	66.27	32588 	41026 	8912 	17719 	23676 	22436 	20166 	28288 	2833 	7830 	2894 	2496 	1299 	3014 	3578 	6987 	5962 	4400 	3194 	3779 	405 	396 	5447 	7334 	499 	1578 	1493 	1645 	3455 	4128 
長崎市	2.70	1.27	63.7	3243455 	1011557 	86761 	26968 	59.75	35884 	45192 	9498 	17750 	26386 	24126 	17813 	26869 	2953 	6894 	1791 	2224 	1412 	2836 	4081 	6659 	4895 	3346 	2153 	2587 	528 	434 	6097 	7823 	625 	2141 	1649 	1121 	3823 	4603 
熊本市	2.87	1.34	59.5	3904288 	1128373 	86394 	29148 	67.34	32127 	44785 	8698 	18117 	23429 	21321 	19210 	29243 	2649 	6638 	2003 	2661 	1580 	3207 	3568 	6024 	5157 	3697 	3513 	4147 	740 	665 	5909 	8594 	738 	2655 	1353 	1747 	3818 	3970 
大分市	2.87	1.33	56.0	3539312 	980913 	75603 	19724 	44.97	31997 	38236 	9363 	16866 	22634 	20015 	18659 	28958 	3091 	9053 	1513 	2270 	1526 	3274 	3392 	6166 	5790 	4202 	2842 	3344 	504 	640 	5224 	7174 	603 	2022 	1026 	1186 	3595 	4216 
宮崎市	2.80	1.26	61.1	3234770 	1016142 	89345 	34497 	75.87	30340 	38903 	8518 	17356 	21822 	18936 	19536 	31536 	3803 	9529 	1665 	2177 	1492 	2953 	3806 	5945 	5191 	3989 	2971 	3688 	609 	568 	4972 	7665 	583 	1908 	1163 	1289 	3227 	4111 
鹿児島市	2.83	1.22	57.9	3541860 	980723 	87286 	31172 	61.34	31827 	39937 	9112 	17919 	22715 	18059 	18058 	28948 	3221 	8724 	1820 	2432 	1550 	3193 	3660 	6871 	5063 	3527 	2274 	2734 	470 	385 	6229 	8084 	617 	2091 	1714 	2000 	3898 	4376 
那覇市	2.88	1.23	59.9	3075694 	953037 	83626 	31505 	59.62	29869 	32738 	8939 	13587 	20931 	16599 	16767 	25711 	1924 	4378 	1819 	2484 	1154 	2268 	5159 	9219 	4599 	3185 	1886 	2120 	226 	202 	5485 	6906 	547 	1809 	1185 	1216 	3753 	3582 
川崎市	2.90	1.37	59.1	3939764 	1204292 	90334 	25369 	51.08	36122 	47996 	11331 	19690 	24791 	22112 	21498 	32292 	3425 	7745 	2795 	3635 	1712 	3614 	4084 	6997 	5790 	4034 	2670 	3065 	1022 	814 	7346 	8970 	724 	2198 	2060 	2479 	4561 	4437 
相模原市	2.78	1.14	60.5	3598466 	1104990 	95125 	32734 	65.28	34929 	47941 	10749 	21047 	24180 	21148 	21164 	38637 	3548 	10129 	2407 	3390 	1340 	3304 	4419 	8959 	6205 	4608 	2358 	2533 	888 	1009 	6298 	10115 	741 	2397 	1664 	2426 	3893 	4946 
浜松市	3.00	1.56	59.6	3717083 	1106194 	93137 	33870 	69.09	31814 	43250 	9839 	19450 	21975 	19841 	21118 	35193 	3688 	10083 	2227 	3471 	1497 	3163 	5386 	8147 	5615 	4310 	2194 	2478 	510 	472 	6334 	8988 	685 	2121 	1845 	2734 	3805 	4320 
堺市	2.85	1.22	64.0	3723382 	1125404 	99148 	29301 	63.70	42954 	55862 	12980 	23477 	29974 	26776 	21014 	36479 	4180 	12826 	1750 	1835 	1317 	2756 	4431 	9572 	6039 	4323 	2771 	3104 	526 	381 	5879 	9325 	559 	2006 	1749 	2582 	3571 	4607 
北九州市	2.84	1.27	60.1	3495223 	1044573 	87811 	28099 	72.91	33636 	41305 	10362 	18694 	23273 	20808 	19418 	31286 	3300 	8224 	1924 	2953 	1360 	2557 	3688 	7155 	5735 	4632 	2688 	3602 	724 	665 	6657 	8067 	625 	1621 	1856 	2351 	4176 	4089 
